Country_code_A3,Name,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AFG,Afghanistan,OC,0.746863259,0.741267977,0.769200251,0.772094333,0.772734631,0.773742307,0.776432543,0.761834354,0.766342255,0.755862108,0.746772117,0.736275242,0.729478724,0.717715336,0.676881301,0.702169824,0.698130269,0.716546506,0.694453082,0.686022062,0.672212199,0.675262675,0.666471085,0.692186996,0.693416064,0.616867051,0.550593119,0.580914871,0.524886404,0.51684699,0.474047824,0.526874145,0.59129591,0.548849873,0.57979852,0.669239251,0.636629115,0.669863367,0.541028523,0.671312691,0.606505823,0.561399541,0.627996817,0.619303987,0.628450097,0.621724367,0.626979743,0.588659616,0.55260178
AFG,Afghanistan,PM2.5,0.667931319,0.662140095,0.691993555,0.693499823,0.691630441,0.687832955,0.691010991,0.667456142,0.672946803,0.659816262,0.649445183,0.630731289,0.624239486,0.60528771,0.552654555,0.548222947,0.540987924,0.559572452,0.542781008,0.542088039,0.532949097,0.538860348,0.557834329,0.585199608,0.588236506,0.514946787,0.446735615,0.47648,0.413183931,0.407957727,0.376885592,0.423449684,0.479983503,0.423473268,0.463038565,0.544665307,0.510899755,0.515147985,0.379647671,0.489679364,0.418406626,0.332154166,0.404757762,0.413352045,0.424363895,0.441875693,0.454521535,0.407982706,0.375820053
AFG,Afghanistan,NOx,0.641903324,0.638804768,0.596227404,0.606008675,0.593777707,0.590323387,0.614463964,0.551317741,0.583589371,0.554764769,0.561921532,0.504021659,0.517095057,0.445621806,0.422383644,0.361406941,0.371205412,0.373176272,0.375455121,0.397813797,0.399019202,0.415551067,0.522688436,0.536394002,0.536026504,0.534796991,0.536744541,0.583269177,0.549047105,0.582945452,0.603723988,0.606635988,0.676023719,0.570928978,0.629788052,0.607600596,0.559717455,0.522332257,0.354523025,0.318948035,0.280084745,0.20701861,0.239874408,0.279186112,0.310162629,0.307182893,0.374888137,0.330449386,0.299852142
AFG,Afghanistan,PM10,0.598444029,0.592007631,0.621161388,0.623415554,0.621313457,0.618883659,0.620780256,0.597989216,0.6034262,0.590471602,0.579654296,0.563999704,0.558319189,0.541817669,0.499299243,0.491280163,0.485252106,0.502068826,0.486321996,0.482249213,0.471289023,0.474982622,0.484878296,0.505914847,0.505460105,0.421965686,0.370026723,0.388879114,0.345537689,0.334078293,0.301360804,0.325957909,0.378492842,0.349849829,0.36750719,0.431152093,0.39843962,0.407921668,0.313776349,0.397578605,0.34946228,0.279954092,0.333101448,0.338930918,0.34666485,0.349315034,0.352598901,0.32065956,0.29751646
AFG,Afghanistan,CO,0.614380914,0.601963898,0.63210854,0.638719113,0.639690331,0.635576944,0.638184716,0.608646772,0.613961327,0.596281553,0.584556445,0.55831987,0.544372962,0.508719335,0.479772868,0.48548578,0.489640352,0.49909205,0.474616403,0.463396146,0.429103797,0.430047515,0.451753913,0.469857688,0.461329676,0.387048313,0.361408561,0.382280154,0.352309969,0.337175304,0.300394308,0.325837827,0.384468944,0.371471981,0.373519691,0.446685905,0.413556111,0.445113574,0.323811933,0.399371181,0.342628316,0.249540649,0.322379896,0.355996414,0.380190901,0.366549892,0.371714478,0.331021373,0.306042241
AFG,Afghanistan,BC,0.628590077,0.620875094,0.646897195,0.651122273,0.646193563,0.634072241,0.642653705,0.613905429,0.620563929,0.602903403,0.595858028,0.566562898,0.564060558,0.537147823,0.509797182,0.472309563,0.469822727,0.485862534,0.467837683,0.471298676,0.458155087,0.461706102,0.480417049,0.50597349,0.501758949,0.416022466,0.378474044,0.393690863,0.368413083,0.345152569,0.289725882,0.301921023,0.365590718,0.361289118,0.352133997,0.415464933,0.383357523,0.406257618,0.310802224,0.386084965,0.339349399,0.237402483,0.291945171,0.31250486,0.328304253,0.308880053,0.316139479,0.276087722,0.250753985
AFG,Afghanistan,NMVOC,0.132573908,0.12926113,0.129910405,0.129794435,0.129591636,0.128706456,0.128584548,0.121424105,0.121683945,0.120245917,0.118865731,0.115678053,0.113767675,0.111194147,0.110118594,0.108566943,0.107497375,0.106323234,0.106008367,0.101896189,0.09877184,0.092950279,0.089673554,0.089137673,0.083924386,0.081047654,0.082158237,0.08310509,0.082012542,0.07432372,0.06639698,0.064989263,0.083677368,0.080460278,0.082246754,0.083970389,0.076044171,0.073590545,0.071685828,0.074104151,0.074358975,0.064092211,0.067331015,0.067648543,0.06808159,0.06545809,0.062792378,0.058486707,0.057750712
AFG,Afghanistan,SO2,0.050904957,0.049435497,0.061032327,0.05995881,0.056155859,0.060172915,0.061538263,0.061037463,0.063264848,0.061553957,0.061012335,0.057156995,0.058770892,0.058156584,0.058479206,0.053670459,0.057694397,0.058377788,0.058301133,0.057698589,0.070619755,0.073120538,0.096610574,0.101897154,0.111116342,0.111105576,0.115021526,0.124217449,0.116694879,0.112330403,0.10463718,0.093794752,0.115832161,0.106084464,0.098672821,0.105239338,0.09251372,0.067795359,0.049240666,0.056660186,0.049537888,0.044069622,0.048537786,0.045943069,0.043025834,0.057713671,0.064087891,0.05839436,0.056106668
AGO,Angola,NH3,0.518834844,0.517422818,0.518881498,0.519955484,0.51963666,0.520639323,0.518284464,0.519340984,0.520420354,0.521845173,0.522605071,0.522837161,0.523052076,0.523472974,0.524576615,0.524794183,0.525768652,0.523441425,0.52197255,0.520304543,0.520122433,0.519823804,0.521191232,0.518008253,0.517543072,0.513930129,0.494904362,0.487787023,0.52493599,0.528549241,0.467324411,0.487142243,0.48926453,0.476845826,0.498398186,0.516812052,0.524339266,0.513334932,0.53651133,0.557071493,0.565429406,0.536831815,0.560509793,0.541951936,0.564373932,0.568340643,0.5609299,0.592748683,0.545850873
AGO,Angola,OC,0.431754426,0.427607163,0.428428001,0.429256229,0.427550922,0.429410072,0.428190394,0.429375584,0.429632356,0.431155231,0.430020401,0.428628823,0.429651927,0.429536893,0.426328825,0.426523347,0.426140534,0.429954647,0.425279353,0.427220715,0.430259098,0.42877028,0.431710672,0.427088303,0.42898439,0.419949204,0.392764594,0.383697901,0.426791515,0.432360912,0.354279273,0.380131632,0.381403239,0.37026779,0.395421439,0.412037493,0.41945615,0.403434155,0.431073516,0.451324595,0.464164727,0.422451726,0.45046678,0.417426162,0.443741807,0.446252843,0.437498915,0.48338748,0.410650712
AGO,Angola,PM10,0.388132892,0.377503449,0.379709066,0.381548616,0.377490789,0.382165056,0.379161817,0.382359056,0.383102443,0.387053657,0.38420363,0.38104735,0.383507009,0.383185155,0.375468939,0.375987548,0.374540174,0.383767726,0.372464065,0.377372193,0.384993764,0.380930931,0.388043458,0.376054879,0.380766418,0.37634575,0.349069677,0.337478612,0.38040944,0.384725913,0.309276428,0.334214821,0.338335405,0.327757638,0.352243048,0.369271798,0.374528031,0.359664583,0.384539502,0.406210525,0.415117581,0.374976756,0.402488038,0.370412193,0.394484358,0.39899989,0.387784972,0.431543682,0.358869681
AGO,Angola,CO,0.381591139,0.373602965,0.375009126,0.37626415,0.37283419,0.37651272,0.374117828,0.376262515,0.376698597,0.379892205,0.377349211,0.374550373,0.376574377,0.376192075,0.369171102,0.369485053,0.368022495,0.376264714,0.365582531,0.369958782,0.377153714,0.373446378,0.380143008,0.36908085,0.373791492,0.370888832,0.343929613,0.331483502,0.374383222,0.378652742,0.30365512,0.328728985,0.333664076,0.32284162,0.347245232,0.365121011,0.370288304,0.355584511,0.37956781,0.402330151,0.409343826,0.369827547,0.397281149,0.366825427,0.390032895,0.395073975,0.383189021,0.426328317,0.355011037
